Date | Type | Shares | Price | CurrentShares | CurrentCapital | WAC
2025-02-24 | buy | 0.3728 | 268.20 | 0.3728 | 99.99 | 268.2000
2025-03-03 | buy | 0.0050 | 263.54 | 0.3778 | 101.31 | 268.1382
2025-03-17 | buy | 0.0010 | 263.48 | 0.3788 | 101.57 | 268.1261
2025-04-07 | buy | 0.2836 | 264.44 | 0.6624 | 176.57 | 266.5479
2025-05-02 | buy | 0.0176 | 275.54 | 0.6800 | 181.41 | 266.7802
2025-05-09 | buy | 0.0094 | 283.18 | 0.6894 | 184.07 | 267.0037
2025-05-16 | buy | 0.0133 | 274.54 | 0.7027 | 187.73 | 267.1466
2025-05-23 | buy | 0.0140 | 280.88 | 0.7167 | 191.65 | 267.4140
2025-06-02 | buy | 0.0033 | 280.68 | 0.7200 | 192.57 | 267.4744
2025-06-09 | buy | 0.0072 | 278.14 | 0.7272 | 194.57 | 267.5799
2025-06-16 | buy | 0.0044 | 282.20 | 0.7315 | 195.81 | 267.6677
2025-06-23 | buy | 0.0023 | 280.96 | 0.7338 | 196.45 | 267.7089
2025-07-02 | buy | 0.0108 | 271.96 | 0.7446 | 199.39 | 267.7707
2025-07-09 | buy | 0.0044 | 268.78 | 0.7490 | 200.57 | 267.7766
2025-07-16 | buy | 0.0005 | 275.40 | 0.7495 | 200.71 | 267.7817
2025-07-23 | buy | 0.0143 | 279.92 | 0.7638 | 204.71 | 268.0088
2025-08-04 | buy | 0.0222 | 278.00 | 0.7860 | 210.87 | 268.2905
2025-08-18 | buy | 0.0146 | 274.68 | 0.8005 | 214.87 | 268.4067
2025-09-02 | buy | 0.0003 | 286.08 | 0.8009 | 214.97 | 268.4144
2025-09-09 | buy | 0.0126 | 279.28 | 0.8135 | 218.48 | 268.5824
2025-09-16 | buy | 0.0187 | 299.72 | 0.8322 | 224.10 | 269.2840
2025-09-23 | buy | 0.0044 | 306.98 | 0.8366 | 225.44 | 269.4807
2025-10-01 | buy | 0.3163 | 316.12 | 1.1529 | 325.42 | 282.2757
2025-10-02 | buy | 0.0160 | 315.92 | 1.1689 | 330.48 | 282.7367
2025-10-08 | buy | 0.2256 | 332.50 | 1.3944 | 405.48 | 290.7864
2025-10-14 | buy | 0.0003 | 348.24 | 1.3947 | 405.58 | 290.7982
2025-10-21 | buy | 0.2950 | 338.94 | 1.6898 | 505.58 | 299.2039
2025-10-23 | buy | 0.0003 | 340.38 | 1.6901 | 505.68 | 299.2110
2025-10-29 | buy | 0.2272 | 330.10 | 1.9173 | 580.69 | 302.8719
2025-10-30 | buy | 0.2296 | 326.68 | 2.1469 | 655.70 | 305.4180
2025-11-03 | buy | 0.0084 | 332.42 | 2.1553 | 658.50 | 305.5235
2025-11-04 | sell | 1.2339 | 330.42 | 0.9214 | 281.50 | 305.5235
2025-11-04 | sell | 1.2339 | 332.00 | -0.3126 | -95.50 | 0.0000
2025-11-10 | buy | 0.0153 | 337.78 | -0.2973 | -90.34 | 0.0000
2025-11-17 | buy | 0.0260 | 335.88 | -0.2713 | -81.60 | 0.0000
2025-11-24 | buy | 0.0042 | 337.20 | -0.2671 | -80.18 | 0.0000
2025-11-26 | buy | 0.2181 | 343.88 | -0.0490 | -5.18 | 0.0000
2025-11-28 | buy | 0.5735 | 348.74 | 0.5245 | 194.83 | 371.4234
2025-12-02 | buy | 0.0083 | 345.16 | 0.5328 | 197.69 | 371.0150
2025-12-09 | buy | 0.0017 | 345.58 | 0.5345 | 198.27 | 370.9351
2025-12-16 | buy | 0.0053 | 348.06 | 0.5398 | 200.13 | 370.7087
